,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,TotalIncome,EMI_Income_Ratio,Log_ApplicantIncome,Log_CoapplicantIncome,Log_LoanAmount,Log_TotalIncome,Has_Coapplicant,HighLoan,Area_Rural,Area_Semiurban,Area_Urban
0,1,0,0,1,0,5849.0,0.0,128.0,360.0,1.0,1,5849.0,0.060789118747744154,8.674196940225903,0.0,4.859812404361672,8.674196940225903,0,0,0,0,1
1,1,1,1,1,0,4583.0,1508.0,128.0,360.0,1.0,0,6091.0,0.05837392145059195,8.430327258394575,7.319202458767849,4.859812404361672,8.714731714015052,1,0,1,0,0
2,1,1,0,1,1,3000.0,0.0,66.0,360.0,1.0,1,3000.0,0.06111111111111111,8.006700845440367,0.0,4.204692619390966,8.006700845440367,0,0,0,0,1
3,1,1,0,0,0,2583.0,2358.0,120.0,360.0,1.0,1,4941.0,0.06746272684341902,7.857093864902493,7.765993079407675,4.795790545596741,8.505525386548555,1,0,0,0,1
4,1,0,0,1,0,6000.0,0.0,141.0,360.0,1.0,1,6000.0,0.06527777777777778,8.699681400989514,0.0,4.955827057601261,8.699681400989514,0,1,0,0,1
5,1,1,2,1,1,5417.0,4196.0,261.5,360.0,1.0,1,9613.0,0.07556318411410475,8.59748202264504,8.34212526333359,5.570251082031678,9.170975648453906,1,1,0,0,1
6,1,1,0,0,0,2333.0,1516.0,95.0,360.0,1.0,1,3849.0,0.06856037643255103,7.755338812846501,7.324489979348532,4.564348191467836,8.25582842728183,1,0,0,0,1
7,1,1,3,1,0,3036.0,2504.0,158.0,360.0,0.0,0,5540.0,0.07922182109907741,8.01862546504575,7.826044013518965,5.0689042022202315,8.61993026886735,1,1,0,1,0
8,1,1,2,1,0,4006.0,1526.0,168.0,360.0,1.0,1,5532.0,0.08435767654856592,8.295798110636145,7.3310603052186325,5.1298987149230735,8.618485442898109,1,1,0,0,1
9,1,1,1,1,0,10171.25,5743.125,261.5,360.0,1.0,0,15914.375,0.04564356997298913,9.227418703510933,8.655932872329714,5.570251082031678,9.675040902115319,1,1,0,1,0
10,1,1,2,1,0,3200.0,700.0,70.0,360.0,1.0,1,3900.0,0.04985754985754986,8.071218539969863,6.55250788703459,4.2626798770413155,8.268988209506656,1,0,0,0,1
11,1,1,2,1,0,2500.0,1840.0,109.0,360.0,1.0,1,4340.0,0.06976446492575525,7.824445930877619,7.518064181233078,4.700480365792417,8.375860015299594,1,0,0,0,1
12,1,1,2,1,0,3073.0,5743.125,200.0,360.0,1.0,1,8816.125,0.06301584375851699,8.03073492409854,8.655932872329714,5.303304908059076,9.084451132144295,1,1,0,0,1
13,1,0,0,1,0,1853.0,2840.0,114.0,360.0,1.0,0,4693.0,0.06747638326585695,7.5251007461258,7.951911381854188,4.74493212836325,8.454040376410969,1,0,1,0,0
14,1,1,2,1,0,1299.0,1086.0,17.0,120.0,1.0,1,2385.0,0.0593990216631726,7.170119543449628,6.99117688712121,2.8903717578961645,7.777373602657861,1,0,0,0,1
15,1,0,0,1,0,4950.0,0.0,125.0,360.0,1.0,1,4950.0,0.07014590347923681,8.507344855361422,0.0,4.836281906951478,8.507344855361422,0,0,0,0,1
16,1,0,1,0,0,3596.0,0.0,100.0,240.0,1.0,1,3596.0,0.11586948461253245,8.187855443695623,0.0,4.61512051684126,8.187855443695623,0,0,0,0,1
17,0,0,0,1,0,3510.0,0.0,76.0,360.0,0.0,0,3510.0,0.06014561570117126,8.163656176168432,0.0,4.343805421853684,8.163656176168432,0,0,0,0,1
18,1,1,0,0,0,4887.0,0.0,133.0,360.0,1.0,0,4887.0,0.07559738990064344,8.494538500851432,0.0,4.897839799950911,8.494538500851432,0,1,1,0,0
19,1,1,0,1,0,2600.0,3500.0,115.0,360.0,1.0,1,6100.0,0.052367941712204005,7.8636512654486515,8.160803920954665,4.7535901911063645,8.716207971151853,1,0,0,0,1
20,1,1,0,0,0,7660.0,0.0,104.0,360.0,0.0,0,7660.0,0.037713954163040325,8.94389780251682,0.0,4.653960350157523,8.94389780251682,0,0,0,0,1
21,1,1,1,1,0,5955.0,5625.0,261.5,360.0,1.0,1,11580.0,0.06272788332373824,8.6921543938039,8.635153989049803,5.570251082031678,9.357121103184378,1,1,0,0,1
22,1,1,0,0,0,2600.0,1911.0,116.0,360.0,0.0,0,4511.0,0.07143033079632503,7.8636512654486515,7.555905093611346,4.762173934797756,8.414495793177895,1,0,0,1,0
23,1,1,2,0,0,3365.0,1917.0,112.0,360.0,0.0,0,5282.0,0.05890024822247465,8.121480374750751,7.559038255443384,4.727387818712341,8.572249397164315,1,0,1,0,0
24,1,1,1,1,0,3717.0,2925.0,151.0,360.0,1.0,0,6642.0,0.0631503228612533,8.220941168281389,7.98139158158007,5.0238805208462765,8.80131894766524,1,1,0,1,0
25,1,1,0,1,1,9560.0,0.0,191.0,360.0,1.0,1,9560.0,0.055497443049744306,9.165447603085447,0.0,5.2574953720277815,9.165447603085447,0,1,0,1,0
26,1,1,0,1,0,2799.0,2253.0,122.0,360.0,1.0,1,5052.0,0.06708014427729392,7.937374696163295,7.720461694599722,4.812184355372417,8.527737405291909,1,0,0,1,0
27,1,1,2,0,0,4226.0,1040.0,110.0,360.0,1.0,1,5266.0,0.05802422247541883,8.34924780056679,6.947937068614969,4.709530201312334,8.569216219483389,1,0,0,0,1
28,1,0,0,0,0,1442.0,0.0,35.0,360.0,1.0,0,1442.0,0.0674217907227616,7.274479558773871,0.0,3.58351893845611,7.274479558773871,0,0,0,0,1
29,0,0,2,1,0,3750.0,2083.0,120.0,360.0,1.0,1,5833.0,0.05714612263557917,8.229777750081887,7.642044402873258,4.795790545596741,8.671458150427666,1,0,0,1,0
30,1,1,1,1,0,4166.0,3369.0,201.0,360.0,1.0,0,7535.0,0.07409865074098651,8.334951631422454,8.122668023346407,5.308267697401205,8.927446816256198,1,1,0,0,1
31,1,0,0,1,0,3167.0,0.0,74.0,360.0,1.0,0,3167.0,0.06490544854927552,8.060855752934316,0.0,4.31748811353631,8.060855752934316,0,0,0,0,1
32,1,0,1,1,1,4692.0,0.0,106.0,360.0,1.0,0,4692.0,0.0627545704272047,8.453827315794417,0.0,4.672828834461906,8.453827315794417,0,0,1,0,0
33,1,1,0,1,0,3500.0,1667.0,114.0,360.0,1.0,1,5167.0,0.06128636862137927,8.160803920954665,7.419380582918692,4.74493212836325,8.550241045462437,1,0,0,1,0
